"81A944 AUTOMATED HEALTH SYSTEMS "
Date Range :	11/14/2023 - 11/14/2024
"
"
"
"
Activity Date,Activity,Fund,Money Source,"# of Units",Unit Price,Amount
2024-10-08,CONTRIBUTION,1899 American Funds New Perspective R6,Employee PreTax,0.2361,37.660202,8.89
2024-10-08,CONTRIBUTION,1723 American Funds EUPAC Fund R6,Employee PreTax,0.7156,20.192854,14.45
2024-10-08,CONTRIBUTION,0899 Vanguard 500 Index Fund Adm,Employee PreTax,0.0825,33.702238,2.78
2024-10-08,CONTRIBUTION,0757 Vanguard Small-Cap Index Fund Adm,Employee PreTax,0.1686,23.069742,3.89
2024-10-07,OTHER,6595 Victory Sycmr Established Value F R6,Safe Harbor Match,-0.0042,28.429379,-0.12
2024-10-07,OTHER,6595 Victory Sycmr Established Value F R6,Employee PreTax,-0.0063,28.429379,-0.18
2024-10-07,OTHER,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Safe Harbor Match,-0.0084,9.551505,-0.08
2024-10-07,OTHER,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Employee PreTax,-0.0136,9.551505,-0.13
2024-10-07,OTHER,2566 DFA U.S. Targeted Value Port Inst,Safe Harbor Match,-0.0022,36.272506,-0.08
2024-10-07,OTHER,2566 DFA U.S. Targeted Value Port Inst,Employee PreTax,-0.0036,36.272506,-0.13
2024-10-07,OTHER,2323 American Funds Fundamental Invst R6,Safe Harbor Match,-0.0104,47.064451,-0.49
2024-10-07,OTHER,2323 American Funds Fundamental Invst R6,Employee PreTax,-0.0166,47.064451,-0.78
2024-10-07,OTHER,1899 American Funds New Perspective R6,Safe Harbor Match,-0.0072,37.466935,-0.27
2024-10-07,OTHER,1899 American Funds New Perspective R6,Employee PreTax,-0.0112,37.466935,-0.42
2024-10-07,OTHER,1723 American Funds EUPAC Fund R6,Safe Harbor Match,-0.0212,20.250921,-0.43
2024-10-07,OTHER,1723 American Funds EUPAC Fund R6,Employee PreTax,-0.0331,20.250921,-0.67
2024-10-07,OTHER,0899 Vanguard 500 Index Fund Adm,Safe Harbor Match,-0.0027,33.379253,-0.09
2024-10-07,OTHER,0899 Vanguard 500 Index Fund Adm,Employee PreTax,-0.0039,33.379253,-0.13
2024-10-07,OTHER,0757 Vanguard Small-Cap Index Fund Adm,Safe Harbor Match,-0.0052,23.031376,-0.12
2024-10-07,OTHER,0757 Vanguard Small-Cap Index Fund Adm,Employee PreTax,-0.0078,23.031376,-0.18
2024-09-20,CONTRIBUTION,6595 Victory Sycmr Established Value F R6,Safe Harbor Match,0.0991,28.565989,2.83
2024-09-20,CONTRIBUTION,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Safe Harbor Match,0.2055,9.830851,2.02
2024-09-20,CONTRIBUTION,2566 DFA U.S. Targeted Value Port Inst,Safe Harbor Match,0.0553,36.511696,2.02
