Symbol,Name,Quantity,Avg. Price,Cost Basis,Unrealized Gain ($),Unrealized Gain (%),Value
VTI,Vanguard Total Stock Market ETF,1.44394,327.96,473.56,-1.55,-0.33,472.01
QQQM,Invesco NASDAQ 100 ETF,0.21362,246.43,52.64,-0.22,-0.42,52.42
SCHD,Schwab U.S. Dividend Equity ETF,1.03413,27.26,28.19,-0.10,-0.35,28.09
DES,WisdomTree U.S. SmallCap Dividend Fund,0.70294,33.96,23.87,-0.04,-0.17,23.83
